id;libelle;description;type;image;identifiant;etat
1;habile;propre quoique blême;LAPTOP;attirer;barrer;RETROUVE
2;alors que de peur de;adversaire membre de l’équipe;TELEPHONE;direction;boum brave;RETROUVE
3;ouille quand ? areu areu;bien;LAPTOP;mairie géométrique marron;équipe de recherche également chez;VOLE
4;malade si population du Québec;personnel dès que vis-à-vie de;TELEPHONE;prestataire de services à cause de;chef;VOLE
5;à l'instar de jeune de manière à;police;TELEPHONE;ouin entièrement pin-pon;entendre mourir avant-hier;RETROUVE
6;administration infime;à défaut de  autant;TELEPHONE;puisque;membre à vie;VOLE
7;concurrence;raide;TELEPHONE;à bas de avant que vorace;via;RETROUVE
8;alors que insuffisamment;là-haut redescendre;TELEPHONE;par suite de alors que absolument;avant mélancolique mairie;VOLE
9;clac hé circulaire;boire;TELEPHONE;au-dessous de;adorable infime;RETROUVE
10;confier drelin;personnel professionnel;TELEPHONE;bien fade toujours;dynamique introduire désagréable;VOLE
