id;depart;arrivee;date_heure_depart;places;prix
1;dehors partenaire gestionnaire;coupable corps enseignant;2024-05-23T13:07:15;24203;11044.96
2;par rapport à;a;2024-05-22T21:05:18;16647;18816.67
3;oups;désormais presque à demi;2024-05-22T23:38:53;599;29320.81
4;bzzz avant de;à moins de;2024-05-22T23:20:17;6223;8708.57
5;équipe de recherche commis de cuisine;hé multiple comment;2024-05-23T14:01:51;21189;28653.85
6;athlète;broum;2024-05-23T07:40:50;1884;7722.98
7;venger par jeune enfant;blême;2024-05-23T17:56:52;2273;16243.51
8;envers;au cas où;2024-05-23T00:07:41;1967;26238.27
9;cyan clientèle tellement;dring;2024-05-23T05:09:45;10309;30302.89
10;splendide filer perplexe;pendant que aller;2024-05-23T09:29:16;10913;2179.9
